n,dim,t
10,1,498
10,2,1671
10,3,3566
10,4,6640
20,1,1210
20,2,4348
20,3,9252
20,4,16140
30,1,2051
30,2,7128
30,3,15318
30,4,26546
40,1,3055
40,2,10151
40,3,21881
40,4,38007
50,1,4021
50,2,13817
50,3,29111
50,4,49835
60,1,5313
60,2,17574
60,3,37114
60,4,64097
70,1,6379
70,2,22227
70,3,45916
70,4,78072
80,1,8051
80,2,26166
80,3,53501
80,4,93464
90,1,9453
90,2,29942
90,3,62784
90,4,106787
100,1,10789
100,2,35026
100,3,70897
100,4,124203
200,1,31988
200,2,92664
200,3,186388
200,4,307167
300,1,61886
300,2,168861
300,3,327417
300,4,536585
400,1,100069
400,2,266557
400,3,501375
400,4,802010
500,1,147679
500,2,377465
500,3,697961
500,4,1091420
600,1,197874
600,2,503600
600,3,940668
600,4,1451225
700,1,260392
700,2,655552
700,3,1172287
700,4,1804085
800,1,334959
800,2,843144
800,3,1492274
800,4,2344320
900,1,479349
900,2,1020656
900,3,1821118
900,4,3798848
